trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.64629047881103,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-15.557367707360822,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,11,-141.3379462005505,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-194.05191148208215,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,11,1.358389856569233,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-79.03203685777541,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-75.84034937509693,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,6,-63.774955398712834,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-74.11922436893175,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-52.0251606828936,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-22.478068962879554,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-33.65366060249383,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-167.91184221869733,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-28.176118965757738,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-107.08399615293021,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,3.8282349449788615,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-196.1714449082032,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-70.2610908100139,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-38.17808439725786,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",30,20,-16.172436258160356,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0}",35,0,-93.76438787858577,"{0: 30, 1: 0, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 0}",20,0,-7.362877453188731,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,3.6869116740055383,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",20,12,-9.356682275349582,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",30,7,-28.637169539682393,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 0}",20,0,29.314277682522466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",20,4,16.953911473343254,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",25,0,16.33078420441164,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",30,16,-27.156092615395515,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 0}",35,0,45.00902168265941,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
