trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,-191.51504729663142,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-102.29449218934545,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-103.9097268822192,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-59.00517812570441,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-71.01363528874906,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,1,-80.44086316669566,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-104.96710454234012,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,0,-148.2685117620721,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-189.09824435677453,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-112.64487324001159,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-134.85000693577294,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-77.45960290060745,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.987}",25,0,-152.24652693068393,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-141.65907367697358,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-155.50231300877547,"{0: 9, 1: 6, 2: 6, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",30,0,-63.033996571519104,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.983}",30,0,-104.46909673097107,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-108.55241591009039,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-147.2748507146351,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",25,0,-133.78700097909578,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.979}",30,0,-109.75209913395632,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-128.15822565749468,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-45.31049185138272,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.976}",20,0,-77.97041201976043,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.975}",20,0,-77.11091711893982,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.974}",20,0,-158.1800591451164,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
