trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,5,-57.431225301527626,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-151.1816686371081,"{0: 20, 1: 7, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.2733995248379,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.96722238922779,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.77041055428558,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.87541587955015,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.77934245075986,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.22124527439715,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.7652689252684,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.58444904222281,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.54213600096305,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.02708084884415,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.03404856272512,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.7699504887228,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.47445227254701,"{0: 9, 1: 8, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.24339832654672,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,13,-33.94695048942325,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.67686935408685,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.63919803499186,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.96559572264787,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.39916731320163,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.498878425460546,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,8,-78.69193204069957,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-264.6173898391916,"{0: 6, 1: 4, 2: 11, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.989365676190616,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.3291956950221,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.65163553105744,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.95341572855077,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-207.15517003018098,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.48568022319103,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
